registro_sistema,titulo,sub_titulo,assunto,autor,tipo_material,quantidade,ano,edicao,editora,isbn,assunto_lista,assunto_principal
1674,Programação cobol,,COBOL (Linguagem de programação de computador)#$&Informática.,"Bastos, Alex C.",Livro,4,1977.0,,"LTC,",,"['COBOL (Linguagem de programação de computador)', 'Informática']",COBOL (Linguagem de programação de computador)
3162,Projeto de sistemas de processamento de dados,,Processamento eletrônico de dados.#$&Projeto de sistemas.,"Dias, Donaldo de Souza,",Livro,5,1975.0,,"Livros Técnicos e Científicos,",8521602103,"['Processamento eletrônico de dados', 'Projeto de sistemas']",Processamento eletrônico de dados
4106,Sistemas de processamento distribuído,,Processamento distribuído.#$&Sistemas de recuperação da informação.#$&Ciência da Computação.#$&Informática.#$&Informação -#$&Sistemas de armazenagem e recuperação -#$&Organização.,"Strack, Jair.",Livro,5,1984.0,,"Livros Técnicos e Científicos,",8521603533,"['Processamento distribuído', 'Sistemas de recuperação da informação', 'Ciência da Computação', 'Informática', 'Informação -', 'Sistemas de armazenagem e recuperação -', 'Organização']",Processamento distribuído
5168,Programação Fortran para estudantes de ciências e engenharia,,FORTRAN (Linguagem de programação de computador)#$&Informática.,"Dias, Donaldo de Souza,",Livro,4,1973.0,2. ed. -,"Livros Técnicos,",,"['FORTRAN (Linguagem de programação de computador)', 'Informática']",FORTRAN (Linguagem de programação de computador)
5234,Processamento de dados nas empresas,,Administração de empresas.#$&Processamento de dados#$&Negócios -#$&Processamento de dados.#$&Processamento eletrônico de dados.,"Shimizu, Tamio,",Livro,6,1983.0,1. ed. -,"Atlas,",,"['Administração de empresas', 'Processamento de dados', 'Negócios -', 'Processamento de dados', 'Processamento eletrônico de dados']",Administração de empresas
5236,Princípios de sistemas de gerência de bancos de dados distribuídos,,Processamento eletronico de dados #$&Sistemas#$&Banco de dados.,"Casanova, Marco Antonio.",Livro,3,1985.0,,"Campus,",8570012632,"['Processamento eletronico de dados', 'Sistemas', 'Banco de dados']",Processamento eletronico de dados
5242,Introdução a sistemas de bancos de dados,,Banco de dados.,"Date, C. J.",Livro,20,1986.0,4. ed. -,"Campus,",8570013922,['Banco de dados'],Banco de dados
5245,Guia para programadores,,Programação (Computadores).#$&Informática.,"Bohl, Marilyn,",Livro,5,1986.0,4. ed. -,"Campus,",,"['Programação (Computadores)', 'Informática']",Programação (Computadores)
5253,Dbase III :,Banco de dados para as aplicações /,Programas de computador#$&dBASE III PLUS (Linguagem de programação de computador),"Byers, Robert A.,",Livro,4,1985.0,,"McGraw-Hill,",,"['Programas de computador', 'dBASE III PLUS (Linguagem de programação de computador)']",Programas de computador
5340,Algoritmos e estruturas de dados,,Algoritmos.#$&Linguagem de programação (Computadores).#$&Estruturas de dados (Computação)#$&Computação.#$&Portugol (Linguagem de programação para computadores).,"Guimarães, Angelo de Moura",Livro,15,1985.0,1. ed. -,"Livros Técnicos e Científicos,",8521603789,"['Algoritmos', 'Linguagem de programação (Computadores)', 'Estruturas de dados (Computação)', 'Computação', 'Portugol (Linguagem de programação para computadores)']",Algoritmos
5487,O visicalc,,Programação (Computadores).#$&VisiCalc (Programa de computador),"Castlewitz, David M.,",Livro,3,1984.0,,"McGraw-Hill,",,"['Programação (Computadores)', 'VisiCalc (Programa de computador)']",Programação (Computadores)
6216,Protocolos :,"para redes de comunicação de dados : conceitos fundamentais de teleprocessamento, protocolo BSC, protocolo HDLC, protocolo SDLC /",Rede de computador -#$&Protocolos.#$&Informática.,"Alves, Luiz.",Livro,3,1987.0,,"Atlas,",8522402728,"['Rede de computador -', 'Protocolos', 'Informática']",Rede de computador -
7939,Análise e síntese de programas de computador,,Programação (Computadores).#$&Linguagem de programação (Computadores).#$&Informática.,"Lucena, Carlos J. P.",Livro,6,1982.0,,"Universidade de Brasília,",,"['Programação (Computadores)', 'Linguagem de programação (Computadores)', 'Informática']",Programação (Computadores)
8096,Programando em MODULA-2,,Modula-2 (Linguagem de programação de computador).#$&Linguagem de programação (Computadores).,"Wirth, Niklaus",Livro,2,1989.0,,"Livros Técnicos e Científicos,",8521606583,"['Modula-2 (Linguagem de programação de computador)', 'Linguagem de programação (Computadores)']",Modula-2 (Linguagem de programação de computador)
8126,Programação e técnicas :,Turbo Pascal : versão 4.0 : inclui versão 5.0 /,Turbo Pascal (Linguagem de programação de computador)#$&Linguagem de programação.,"Grillo, Maria Celia Arruda.",Livro,4,1989.0,2. ed. -,"Livros Técnicos e Científicos,",8521606575,"['Turbo Pascal (Linguagem de programação de computador)', 'Linguagem de programação']",Turbo Pascal (Linguagem de programação de computador)
8533,Pascal e técnicas de programação,,PASCAL (Linguagem de programação de computador),"Schmitz, Eber Assis.",Livro,4,1988.0,3. ed. -,"Livros Tecnicos  e cientificos,",,['PASCAL (Linguagem de programação de computador)'],PASCAL (Linguagem de programação de computador)
8534,Turbo pascal avançado,,Turbo Pascal (Linguagem de programação de computador)#$&Linguagem de programação (Computadores).,"Schildt, Herbert,",Livro,5,1988.0,,"McGraw-Hill,",,"['Turbo Pascal (Linguagem de programação de computador)', 'Linguagem de programação (Computadores)']",Turbo Pascal (Linguagem de programação de computador)
8537,"PC-DOS, MS-DOS :",guia do usuário /,MS-DOS (Sistema operacional de computador)#$&PC-DOS (Sistema operacional de computador),"Sheldon, Thomas.",Livro,2,1987.0,,"Hill,",,"['MS-DOS (Sistema operacional de computador)', 'PC-DOS (Sistema operacional de computador)']",MS-DOS (Sistema operacional de computador)
8539,O ABC do WordPerfect 5.0 e 5.1,,WordPerfect (Programa de computador)#$&Linguagem de programação (Computadores).,"Neibauer, Alan R.",Livro,7,1990.0,,"McGrawHill,",0074608584,"['WordPerfect (Programa de computador)', 'Linguagem de programação (Computadores)']",WordPerfect (Programa de computador)
8563,Abc do MS/DOS,,MS-DOS (Sistema operacional de computador),"Miller, Alan R.,",Livro,4,1989.0,,"Hill,",,['MS-DOS (Sistema operacional de computador)'],MS-DOS (Sistema operacional de computador)
8564,Lotus 1-2-3 :,guia do usuário /,Lotus 1-2-3 (Programa de computador)#$&Programas de computador,"Baras, Edward M.",Livro,3,1987.0,3. ed. -,"Mcgraw-hill,",,"['Lotus 1-2-3 (Programa de computador)', 'Programas de computador']",Lotus 1-2-3 (Programa de computador)
8566,Harvard graphics :,guia do usuário /,Harvard Graphics (Programa de computador)#$&Programação (Computadores).#$&Computação gráfica.,"Larsen, Glenn Harold.",Livro,4,1991.0,,"Hill,",,"['Harvard Graphics (Programa de computador)', 'Programação (Computadores)', 'Computação gráfica']",Harvard Graphics (Programa de computador)
8572,Circuitos digitais e microprocessadores,,Microprocessadores.#$&Computadores digitais -#$&Circuitos.,"Taub, Herbert",Livro,12,1984.0,,"McGraw-Hill,",0074504444,"['Microprocessadores', 'Computadores digitais -', 'Circuitos']",Microprocessadores
8585,Lotus 1-2-3 avançado,,Lotus 1-2-3 (Programa de computador)#$&Programas de computador,"Baras, Edward M.",Livro,3,1987.0,,"Mcgraw-hill,",,"['Lotus 1-2-3 (Programa de computador)', 'Programas de computador']",Lotus 1-2-3 (Programa de computador)
8587,Turbo C avançado :,guia do usuário /,Turbo C (Linguagem de programação de computador)#$&Programação (Computadores).,"Schildt, Herbert,",Livro,5,1990.0,,"McGrawHill,",,"['Turbo C (Linguagem de programação de computador)', 'Programação (Computadores)']",Turbo C (Linguagem de programação de computador)
8589,Linguagem Assembly avançada para IBM PC : |,guia do usuário /,Assembler (Linguagem de programação de computador)#$&Linguagem de programação (Computadores).#$&IBM Personal Computer - #$&Programação,"Holzner, Steven.",Livro,3,1990.0,,"McGraw-Hill,",,"['Assembler (Linguagem de programação de computador)', 'Linguagem de programação (Computadores)', 'IBM Personal Computer -', 'Programação']",Assembler (Linguagem de programação de computador)
8590,Análise de sistemas orientada para objetos,,Análise de sistemas.#$&Software -#$&Desenvolvimento.#$&Banco de dados.,"Shlaer, Sally.",Livro,5,1990.0,,"Makron,",,"['Análise de sistemas', 'Software -', 'Desenvolvimento', 'Banco de dados']",Análise de sistemas
8706,Administrando o ciclo de vida do sistema,,Software -#$&Desenvolvimento.#$&Programação (Computadores).#$&Processamento eletrônico de dados.,"Yourdon, Edward,",Livro,4,1989.0,,"Campus,",8570015704,"['Software -', 'Desenvolvimento', 'Programação (Computadores)', 'Processamento eletrônico de dados']",Software -
8908,O culto da informação,,Computadores e civilização.#$&Computação.,"Roszak, Theodore,",Livro,3,1988.0,,"Brasiliense,",851127006X,"['Computadores e civilização', 'Computação']",Computadores e civilização
9016,Dominando o turbo Pascal 5,,Turbo Pascal (Linguagem de programação de computador),"Hergert, Douglas,",Livro,10,1989.0,,"Ciência Moderna,",,['Turbo Pascal (Linguagem de programação de computador)'],Turbo Pascal (Linguagem de programação de computador)
9066,Basic aplicado :,um enfoque profissional /,BASIC (Linguagem de programação de computador)#$&Linguagem de programação (Computadores).,"Prates Júnior, Rubens da Silva",Livro,2,1985.0,,"Livros Técnicos e Científicos,",8521603673,"['BASIC (Linguagem de programação de computador)', 'Linguagem de programação (Computadores)']",BASIC (Linguagem de programação de computador)
9167,CAD / CAM :,projeto e fabricação com auxílio de computador /,Sistemas CAD/CAM.#$&Projetos de engenharia.#$&Processamento de dados.#$&Computação de alto desempenho.#$&Processos de fabricação.#$&Processamento de dados.,"Besant, C. B.,",Livro,4,1988.0,3. ed. -,"Campus,",,"['Sistemas CAD/CAM', 'Projetos de engenharia', 'Processamento de dados', 'Computação de alto desempenho', 'Processos de fabricação', 'Processamento de dados']",Sistemas CAD/CAM
9188,Lotus 1-2-3 :,versão 2.2 : guia do usuário /,Lotus 1-2-3 (Programa de computador)#$&Programação orientada a objetos (Computação)#$&Computação de alto desempenho.,"Campbell, Mary K.",Livro,0,1990.0,,"Makron ;#$&Mcgraw-hill,",,"['Lotus 1-2-3 (Programa de computador)', 'Programação orientada a objetos (Computação)', 'Computação de alto desempenho']",Lotus 1-2-3 (Programa de computador)
9333,The design and analysis of computer algorithms,,Algoritmos de computador.#$&Estruturas de dados (Computação)#$&Computação de alto desempenho.,"Aho, Alfred V.,",Livro,10,1974.0,,"Reading Addison-Wesley,",0201000296,"['Algoritmos de computador', 'Estruturas de dados (Computação)', 'Computação de alto desempenho']",Algoritmos de computador
9550,Treinamento em Linguagem C :,Módulo 1 /,C (Linguagem de programação de computador).#$&Programação (Computadores).#$&Computação.#$&Informática.,"Mizrahi, Victorine Viviane.",Livro,5,1990.0,,"McGraw-Hill,",007460855X,"['C (Linguagem de programação de computador)', 'Programação (Computadores)', 'Computação', 'Informática']",C (Linguagem de programação de computador)
9551,Treinamento em linguagem C :,Módulo 2 /,C (Linguagem de programação de computador).#$&Programação (Computadores).#$&Computação.#$&Informática.,"Mizrahi, Victorine Viviane.",Livro,4,1990.0,,"MC Graw-Hill,",0074608541,"['C (Linguagem de programação de computador)', 'Programação (Computadores)', 'Computação', 'Informática']",C (Linguagem de programação de computador)
9772,Sistemas operacionais :,uma visão sistemática /,Sistema operacional#$&Computação.#$&Informática.,"Davis, William S.,",Livro,7,1990.0,,"Campus,",8570015747,"['Sistema operacional', 'Computação', 'Informática']",Sistema operacional
9807,Practical applications of expert systems,,Inteligência artificial.#$&Sistemas especialistas (Computação).#$&Computação.#$&Informática.,"Lindsay, Susan",Livro,1,1988.0,,"QED Information Sciences,",0894352350,"['Inteligência artificial', 'Sistemas especialistas (Computação)', 'Computação', 'Informática']",Inteligência artificial
9823,Projeto de sistemas operacionais em linguagem C,,Sistema operacional#$&Projeto de sistemas.#$&C (Linguagem de programação de computador).#$&Informática.#$&Computação.,"Albuquerque, Fernando.",Livro,5,1990.0,,"Ebras ;#$&Berkeley Books,",,"['Sistema operacional', 'Projeto de sistemas', 'C (Linguagem de programação de computador)', 'Informática', 'Computação']",Sistema operacional
9833,Estruturas de dados,,Estruturas de dados (Computação)#$&Processamento eletrônico de dados.#$&Algoritmos.#$&Computação.#$&Informática.,,Livro,2,1984.0,,"Campus,",8570013523,"['Estruturas de dados (Computação)', 'Processamento eletrônico de dados', 'Algoritmos', 'Computação', 'Informática']",Estruturas de dados (Computação)
9837,Object-oriented software construction,,Programação orientada a objetos (Computação)#$&Software -#$&Desenvolvimento.,"Meyer, Bertrand,",Livro,1,1988.0,,"Prentice Hall,",0136290493,"['Programação orientada a objetos (Computação)', 'Software -', 'Desenvolvimento']",Programação orientada a objetos (Computação)
