id_exemplar,codigo_barras,colecao,biblioteca,status_material,localizacao,registro_sistema,circulavel,grupo_cdd
1425942,2025007459,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004 B327p 1.ed.,1674,True,primario_004
1275854,2017035532,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 D541p,3162,True,primario_004
1426029,2025007340,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 D541p,3162,True,primario_004
1328026,2019019972,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 D541p,3162,True,primario_004
12814,X000022,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.75  S894s,4106,True,primario_004
1243564,2016034352,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.451.9 D541p 2.ed.,5168,True,primario_004
15967,L092249,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,658:004 S556p 1.ed.,5234,True,correlato_004
15965,L092247,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,658:004 S556p 1.ed.,5234,True,correlato_004
15985,X000096,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.75  C355p,5236,True,primario_004
15986,X007557,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.75  C335p,5236,True,primario_004
945548,2000010861,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.6 D232i 4.ed.,5242,True,primario_004
16035,X002824,Acervo Circulante,Biblioteca Setorial Prof. Ronaldo Xavier de Arruda - CCET,ESPECIAL,004.42 B676g 4.ed.,5245,True,primario_004
16089,2007027845,Acervo Circulante,Biblioteca Setorial Prof. Horácio Nicolas Solimo - ­ Engenharia Química - EQ - CT,ESPECIAL,004.42 B993d,5253,True,primario_004
1317896,2019007164,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.422.63 G963a,5340,True,primario_004
17423,2007027179,Acervo Circulante,Biblioteca Setorial Prof. Horácio Nicolas Solimo - ­ Engenharia Química - EQ - CT,ESPECIAL,004.42 C353v,5487,True,primario_004
19503,L113230,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.72.057.4 A474p,6216,True,primario_004
19504,X002777,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.72.057.4  A474p,6216,True,primario_004
825687,2010089404,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.72.057.4 A474p,6216,True,primario_004
23177,X009104,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.42 L935a,7939,True,primario_004
1426199,2025007347,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 W799p,8096,True,primario_004
23597,2006031528,Acervo Circulante,Biblioteca Setorial Prof. Ronaldo Xavier de Arruda - CCET,ESPECIAL,004.43 G859p 2.ed.,8126,True,primario_004
1257286,2017014111,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.3 S355p 3.ed,8533,True,primario_004
24482,X002778,Acervo Circulante,Biblioteca Setorial Prof. Ronaldo Xavier de Arruda - CCET,ESPECIAL,004.43 S334t,8534,True,primario_004
1271604,2017030417,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 S544p,8537,True,primario_004
24536,2009028595,Acervo Circulante,Biblioteca Setorial Bertha Cruz Enders - ­Escola de Saúde da UFRN - ESUFRN,ESPECIAL,004.42 N397a,8539,True,primario_004
24656,2007027835,Acervo Circulante,Biblioteca Setorial Prof. Horácio Nicolas Solimo - ­ Engenharia Química - EQ - CT,ESPECIAL,004.451.9 M647a,8563,True,primario_004
24660,L110839,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.4 B225l 3.ed.,8564,True,primario_004
24658,L110837,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.4 B225l 3.ed.,8564,True,primario_004
24657,L110836,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.4 B225l 3.ed.,8564,True,primario_004
24687,L110861,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.42 L333h,8566,True,primario_004
24685,L110859,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.42 L333h,8566,True,primario_004
24686,L110860,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.42 L333h,8566,True,primario_004
1320805,2019011630,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 T222c,8572,True,primario_004
24869,L111027,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.4 B225l,8585,True,primario_004
24870,L111028,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.4 B225l,8585,True,primario_004
24871,L111029,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.4 B225l,8585,True,primario_004
1102215,2014008157,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 S334t,8587,True,primario_004
24911,L111086,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.43 H762l,8589,True,primario_004
24910,L111085,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.43 H762l,8589,True,primario_004
24908,L111083,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.43 H762l,8589,True,primario_004
24912,L111087,Acervo de Desbaste,Biblioteca Central Zila Mamede,ESPECIAL,004.43 S558a,8590,True,primario_004
24918,L111093,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.43 S558a,8590,True,primario_004
24920,L118618,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.43 S558a,8590,True,primario_004
25322,L111719,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.41 Y81a,8706,True,primario_004
25323,L122447,Acervo de Desbaste,Biblioteca Central Zila Mamede,REGULAR,004.41 Y81a,8706,True,primario_004
1259172,2017017043,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 Y81a,8706,True,primario_004
1392330,2023000689,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,008:004 R841c,8908,True,correlato_004
1096776,2013111556,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 H545d,9016,True,primario_004
1425844,2025007454,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.42 P912b,9066,True,primario_004
225221,9100147,Acervo Circulante,Biblioteca Setorial Prof. Horácio Nicolas Solimo - ­ Engenharia Química - EQ - CT,ESPECIAL,004.896 B554c 3.ed.,9167,True,primario_004
26639,L113783,Acervo Circulante,Biblioteca Central Zila Mamede,ESPECIAL,004.4 C187l,9188,True,primario_004
26645,L113789,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.4 C187l,9188,True,primario_004
1058726,2013018249,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9333,True,primario_004
1058727,2013018250,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9333,True,primario_004
1058724,2013018247,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,ESPECIAL,004.421 A286d,9333,True,primario_004
1058725,2013018248,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9333,True,primario_004
1058729,2013018252,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9333,True,primario_004
1058731,2013018254,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9333,True,primario_004
1058728,2013018251,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9333,True,primario_004
1058730,2013018253,Acervo Circulante,Biblioteca Setorial Profª. Maria Lúcia da Costa Bezerra - ­CERES­ - Caicó,REGULAR,004.421 A286d,9333,True,primario_004
1109972,2014018746,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 M685t v.1,9550,True,primario_004
27549,L178941,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.43 M685t v.1,9550,True,primario_004
27548,L176866,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.43 M685t v.1,9550,True,primario_004
27547,X008134,Acervo Circulante,Biblioteca Setorial Prof. Ronaldo Xavier de Arruda - CCET,ESPECIAL,004.43 M685t,9550,True,primario_004
1110103,2014018759,Acervo Circulante,Biblioteca Setorial Prof. Rodolfo Helinski - Escola Agrícola de Jundiaí - EAJ - Macaiba,REGULAR,004.43 M685t v.2,9551,True,primario_004
983239,2010081986,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.43 M685t v.2,9551,True,primario_004
27552,L178942,Acervo Circulante,Biblioteca Central Zila Mamede,REGULAR,004.43 M685t v.2,9551,True,primario_004
