registro_sistema,titulo,autor,assunto_principal,tipo_material,biblioteca,exemplares,emp_2018,emp_2019,emp_2020,emp_2022,total_emprestimos,media_por_exemplar
4106,Sistemas de processamento distribuído,"Strack, Jair.",Processamento distribuído,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
5234,Processamento de dados nas empresas,"Shimizu, Tamio,",Administração de empresas,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
5236,Princípios de sistemas de gerência de bancos de dados distribuídos,"Casanova, Marco Antonio.",Processamento eletronico de dados,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
6216,Protocolos :,"Alves, Luiz.",Rede de computador -,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
7939,Análise e síntese de programas de computador,"Lucena, Carlos J. P.",Programação (Computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
8564,Lotus 1-2-3 :,"Baras, Edward M.",Lotus 1-2-3 (Programa de computador),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
8566,Harvard graphics :,"Larsen, Glenn Harold.",Harvard Graphics (Programa de computador),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
8585,Lotus 1-2-3 avançado,"Baras, Edward M.",Lotus 1-2-3 (Programa de computador),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
8589,Linguagem Assembly avançada para IBM PC : |,"Holzner, Steven.",Assembler (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
8590,Análise de sistemas orientada para objetos,"Shlaer, Sally.",Análise de sistemas,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
8706,Administrando o ciclo de vida do sistema,"Yourdon, Edward,",Software -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
8908,O culto da informação,"Roszak, Theodore,",Computadores e civilização,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
9188,Lotus 1-2-3 :,"Campbell, Mary K.",Lotus 1-2-3 (Programa de computador),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
9807,Practical applications of expert systems,"Lindsay, Susan",Inteligência artificial,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
9833,Estruturas de dados,,Estruturas de dados (Computação),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
9837,Object-oriented software construction,"Meyer, Bertrand,",Programação orientada a objetos (Computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
9851,Computer networks,"Tanenbaum, Andrew S.,",Redes de computadores,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
9852,Operating systems :,"Tanenbaum, Andrew S.,",Sistema operacional,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
9853,Compilers :,"Aho, Alfred V.,",Compiladores (Programas de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
9856,Principles of concurrent and distributed programming,"Ben-Ari, M.",Programação (Computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
9862,Algorithmic :,"Chaitin, Gregory J.",Algoritmos,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
9876,Computer graphics :,,Computação gráfica,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
10334,Creating expert systems for business and industry,"Harmon, Paul.",Negócios -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
10895,"FORTRAN, ANSI 77 e WATFIV-S :","Pereira Filho, Jorge da Cunha,",FORTRAN (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
10936,Algorithms,"Sedgewick, Robert,",Algoritmos de computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
10966,C :,"Kernighan, Brian W.,",Linguagem de programação (Computadores),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
11017,Gerenciamento de disco rígido,"Wolverton, Van,",Discos rígidos (Computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
11968,Introdução ao desenvolvimento de algoritmos e estruturas de dados,"Pinto, Wilson Silva,",Algoritmos,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
12329,Protocolos :,"Alves, Luiz.",Rede de computador -,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
12490,"Informática para as áreas de contabilidade, administração e economia","Cornachione Junior, Edgard Bruno.",Informática,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
15391,Dicionário de programação,"Weisert, Conrad",Programação (Computadores),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
16155,"Informática aplicada às áreas de contabilidade, administração e economia","Cornachione Junior, Edgard Bruno.",Administração de empresas,Livro,Biblioteca Central Zila Mamede,6,0,0,0,0,0,0.0
16594,Informática :,"Meirelles, Fernando de Souza",Informática,Livro,Biblioteca Central Zila Mamede,5,0,0,0,0,0,0.0
16681,Análise estruturada moderna,"Yourdon, Edward,",Processamento eletrônico de dados -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
16773,Modeling physical domains for knowledge based systems,"Ahonen, Jarmo.",Sistemas baseados em conhecimento,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
17097,Cliente / servidor :,"Orfali, Robert",Redes locais de computação,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
17141,Da Alexandria do Egito à Alexandria do espaço :,"Cavalcanti, Cordelia R.",Tecnologia da Informação,Livro,Biblioteca Central Zila Mamede,16,0,0,0,0,0,0.0
17536,Aspectos teóricos da computação,,Programação de computador,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
17538,Microprocessador Z-80,"Cypriano, Luiz Benedito,",Microprocessadores,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
17573,Redes de computadores,"Tanenbaum, Andrew S.,",Redes de computadores,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
17886,Administração de informática :,"Albertin, Alberto Luiz.",Informática,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
18896,Borland C++ :,"Holzner, Steven.",Borland C++ (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
20969,Computational theories of interaction and agency,,Inteligência artificial,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
21064,TCP/IP illustrated,"Stevens, W. Richard.",TCP/IP (Protocolo de rede de computador),Livro,Biblioteca Central Zila Mamede,5,0,0,0,0,0,0.0
22006,Selected papers :,"International Symposium on Computer Architecture.  (25. : 1998 : New York, N.Y.)",Arquitetura de computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
22389,Programando para Linux,"Volkerding, Patrick.",Linux (Sistema operacional de computador),Livro,Biblioteca Central Zila Mamede,6,0,0,0,0,0,0.0
23451,An introduction to S and S-PLUS,"Spector, Phil,",S (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
23646,Introduction to parallel algorithms and architectures :,"Leighton, Frank Thomson",Algoritmos de computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
23936,Algoritmos e estruturas de dados,"Wirth, Niklaus",Estruturas de dados (Computação),Livro,Biblioteca Central Zila Mamede,5,0,0,0,0,0,0.0
24286,Dominando o photoshop 5 para a web :,"Straznitskas, Matt",Adobe Photoshop (Programa de computador),Livro,Biblioteca Central Zila Mamede,6,0,0,0,0,0,0.0
24374,Principles of data mining and knowledge discovery :,,Banco de dados,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
24405,Fundamentals of algebraic specification,"Ehrig, Hartmut",Estruturas de dados (Computação),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
24503,Notas para exame :,"Strebe, Matthew.",Internet (Redes de computação),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
24504,Notas para exame :,"Govanus, Gary.",Windows Server (Sistema operacional de computador),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
24531,Gerenciando data warehouse :,"Inmon, William H.,",Banco de dados -,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
24700,TCP/IP :,"Feit, Sidnie.",TCP/IP (Protocolo de rede de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
24883,Java :,"Schildt, Herbert,",Java (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
24919,Redes de computadores,"Tanenbaum, Andrew S.,",Redes de computação,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
25048,Turbo Pascal 7.0 :,"Rinaldi, Roberto,",Turbo Pascal (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
25191,Uncertainty in knowledge bases :,,Incerteza (Teoria da informação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
25424,Sistemas operacionais :,"Tanenbaum, Andrew S.",Sistemas operacionais (Computadores),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
25530,Computer aided verification,,Programas de computador -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
25801,Uma ferramenta para monitorização da rede ATM da UFRN através da Web,"Silva, Helcio Wagner da.",Rede de computador - Dissertação,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
26070,Hyperproof,"Barwise, Jon.",Lógica simbólica e matemática,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
